song_id,song,mood,mood_id,sentiment,artist_1,artist_2,note,mode,harmonic,percussion,tempo,zcr,spec_bw,spec_cent,rolloff,rmse,chroma,mel,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,loudness,onset_env
411,sooraj_ki_baahon_mein,Party,1,,loy,dominique_cerejo,11,0.1,3.29E-08,0.000321924,123.2345404,0.075261224,2646.209068,2210.881662,5164.628236,0.288851738,0.378859729,20.55490685,0.009877084,-58.48018646,94.57839203,22.89347839,28.96363831,12.4689045,15.80340481,3.634709835,6.476709843,8.112529755,7.151560307,-6.710163116,3.98720479,-2.542969704,6.8498559,0.177155018,0.925165415,-3.542948723,0.751309931,-6.474752903,4.425292015,-1.391832709,1.588540792
412,toh_zinda_ho_tum,Emotional,1,,farhan_akhtar,0,4,0.9,3.24E-05,-6.80E-07,143.1602227,0.060565404,1784.244975,1432.3568,2875.528564,0.129756853,0.260462195,4.832196236,0.02002053,-160.4298553,129.1496887,-17.83987617,26.83297539,-0.971643806,-1.547504067,-9.327802658,-4.665327549,-7.922466278,1.378398299,-5.446032524,-2.900172234,-6.194839001,-2.117383718,-2.919953346,-5.030128956,-8.882326126,-4.436386585,-8.529166222,-3.123163939,-8.676786423,0.972724915
413,ik_junoon_(remix),Party,1,,vishal,shankar_mahadevan,1,0.9,5.76E-06,-6.22E-05,129.1992188,0.083551008,2798.685988,2431.009967,5768.847559,0.278951973,0.438096642,19.70385551,-0.001671647,-55.51234436,82.60021973,26.0094738,26.85294342,7.079528332,16.61699486,1.281944036,7.242601395,-1.945671201,5.74747467,-1.296126127,4.778695107,-2.362648487,4.837816238,-1.635881186,3.020642042,-1.480039597,9.252651215,-1.193165421,0.175268039,-2.152428865,1.653378487
414,senorita_(remix),Party,1,,hrithik_roshan,farhan_akhtar,8,0.9,-1.54E-07,0.000156789,116.2181118,0.090660379,2747.824386,2536.946118,5767.219244,0.285941184,0.484143108,19.98034096,-0.002161615,-24.39035034,79.44544983,12.12854195,32.77918243,7.252931595,13.39476013,1.125293255,8.052951813,0.02957611,3.193577766,-3.507773638,4.620587826,-3.664921045,0.552177012,-3.780201197,1.412960052,-3.391053915,2.619396925,-4.657217026,0.468801826,-2.086542606,1.848615885
415,senorita,Party,1,,hrithik_roshan,farhan_akhtar,9,0.1,-1.21E-06,-6.24E-06,125.709126,0.082052741,2815.46588,2526.187753,5859.331081,0.241992727,0.369713813,14.52955627,-0.009786475,-67.7518158,71.63920593,22.24553299,32.23000717,9.826088905,21.92806816,3.426730871,7.381560802,2.17406106,2.418272495,-0.646832883,4.793687344,1.943932533,5.88926506,-4.438886642,0.113748431,-5.239574432,0.158128351,-9.22222805,-2.840320826,-3.864406109,1.806839347
416,ab_mujhe_koi,Emotional,1,,rekha bhardwaj,0,3,0.9,6.55E-08,-2.48E-05,110.7439624,0.039299713,1094.683826,841.4860583,1579.481646,0.203863814,0.271281838,12.35056496,0.000793969,-200.7250214,171.270813,6.675267696,27.59260559,4.267706394,21.69223595,-1.362804413,-3.169198513,-5.151405334,-3.257202148,-8.488818169,-5.287407398,1.167084336,-6.939161301,2.273989916,0.687158287,-0.719361067,-3.600411892,-0.375561416,-5.666815281,-6.866993427,1.205218196
417,badi_dheere_jali,Party,1,,rekha bhardwaj,0,2,0.9,8.16E-08,9.13E-06,145.1258348,0.047274952,1278.572802,1003.82674,2051.481862,0.233660579,0.309007704,14.00908947,-0.037424043,-149.8128815,169.2943115,-10.74853611,46.16599655,-1.681099534,14.06505489,-2.058103323,5.622625351,-4.005318165,1.331252098,-2.93546176,-9.190162659,1.75749743,-7.425714016,-2.252507448,-2.659790516,-0.146982327,-3.93646574,0.585029721,-6.273499012,-3.501531601,1.410121441
418,dil_to_bachacha_hai(remix),Party,1,, mika,nucleya,6,0.1,1.95E-08,-1.55E-05,112.7044976,0.078202192,1760.473838,1653.128779,3622.25518,0.270212233,0.430568188,18.20134544,-0.011481106,-60.27771759,140.3254395,-35.99409103,58.05706406,-17.43935394,24.40805435,-12.57989883,16.83801842,-6.643060207,7.591671944,2.834556818,-1.966531038,9.323320389,-7.81368494,8.114984512,-9.028697014,4.478221416,-6.263371944,-0.055994276,-1.774357796,-3.852309942,1.553380013
419,dil_to_bachacha_hai,Emotional,1,,rahat fateh ali khan,clinton cerejo,6,0.1,-1.83E-07,0.000229911,128.5186108,0.062229205,1533.591114,1333.157939,2892.036248,0.267151535,0.329553127,18.48272133,-0.017979118,-108.8263397,149.1994171,-26.442873,57.46465683,-11.2671299,20.45522118,-5.196357727,5.853430271,-6.270066261,2.553623199,0.239598691,-7.326642513,4.100858688,-11.02819061,3.322075605,-6.480488777,0.712929487,-2.313775539,-5.444508076,-3.61600709,-4.91258955,1.543665171
420,ibn-e-batuta5,Party,1,,ibn,0,0,0.9,-7.15E-07,-2.41E-05,96.95300607,0.06943453,1525.042527,1444.193913,3048.383789,0.336958736,0.394442916,27.41722488,0.011864472,-62.25122452,153.6636047,-54.53812408,53.70174408,-14.71000099,23.1874733,-4.367506504,9.064218521,3.376143217,10.62451363,5.276687622,0.881331861,10.25443268,-5.811412334,8.256120682,-4.542422771,4.003147602,3.437638998,6.41420126,3.160905123,-1.701027751,1.642822623
